t = 312.000000, L = 0.078832, A = 0.000480
t = 313.000000, L = 0.078912, A = 0.000481
t = 314.000000, L = 0.078993, A = 0.000482
t = 315.000000, L = 0.079073, A = 0.000483
t = 316.000000, L = 0.079153, A = 0.000484
t = 317.000000, L = 0.079232, A = 0.000485
t = 318.000000, L = 0.079312, A = 0.000486
t = 319.000000, L = 0.079391, A = 0.000487
t = 320.000000, L = 0.079471, A = 0.000488
t = 321.000000, L = 0.079550, A = 0.000489
t = 322.000000, L = 0.079629, A = 0.000490
t = 323.000000, L = 0.079707, A = 0.000491
t = 324.000000, L = 0.079786, A = 0.000492
t = 325.000000, L = 0.079864, A = 0.000493
t = 326.000000, L = 0.079942, A = 0.000494
t = 327.000000, L = 0.080020, A = 0.000495
t = 328.000000, L = 0.080098, A = 0.000495
t = 329.000000, L = 0.080176, A = 0.000496
t = 330.000000, L = 0.080253, A = 0.000497
t = 331.000000, L = 0.080330, A = 0.000498
t = 332.000000, L = 0.080407, A = 0.000499
t = 333.000000, L = 0.080484, A = 0.000500
t = 334.000000, L = 0.080561, A = 0.000501
t = 335.000000, L = 0.080638, A = 0.000502
t = 336.000000, L = 0.080714, A = 0.000503
t = 337.000000, L = 0.080790, A = 0.000504
t = 338.000000, L = 0.080866, A = 0.000505
t = 339.000000, L = 0.080942, A = 0.000506
t = 340.000000, L = 0.081018, A = 0.000507
t = 341.000000, L = 0.081094, A = 0.000508
t = 342.000000, L = 0.081169, A = 0.000509
t = 343.000000, L = 0.081244, A = 0.000510
t = 344.000000, L = 0.081319, A = 0.000510
t = 345.000000, L = 0.081394, A = 0.000511
t = 346.000000, L = 0.081469, A = 0.000512
t = 347.000000, L = 0.081544, A = 0.000513
t = 348.000000, L = 0.081618, A = 0.000514
t = 349.000000, L = 0.081692, A = 0.000515
t = 350.000000, L = 0.081767, A = 0.000516
t = 351.000000, L = 0.081840, A = 0.000517
t = 352.000000, L = 0.081914, A = 0.000518
t = 353.000000, L = 0.081988, A = 0.000519
t = 354.000000, L = 0.082061, A = 0.000520
t = 355.000000, L = 0.082135, A = 0.000521
t = 356.000000, L = 0.082208, A = 0.000521
t = 357.000000, L = 0.082281, A = 0.000522
t = 358.000000, L = 0.082354, A = 0.000523
t = 359.000000, L = 0.082426, A = 0.000524
t = 360.000000, L = 0.082499, A = 0.000525
t = 361.000000, L = 0.082571, A = 0.000526
t = 362.000000, L = 0.082644, A = 0.000527
t = 363.000000, L = 0.082716, A = 0.000528
t = 364.000000, L = 0.082788, A = 0.000529
t = 365.000000, L = 0.082859, A = 0.000530
t = 366.000000, L = 0.082931, A = 0.000531
t = 367.000000, L = 0.083003, A = 0.000531
t = 368.000000, L = 0.083074, A = 0.000532
t = 369.000000, L = 0.083145, A = 0.000533
t = 370.000000, L = 0.083216, A = 0.000534
t = 371.000000, L = 0.083287, A = 0.000535
t = 372.000000, L = 0.083358, A = 0.000536
t = 373.000000, L = 0.083428, A = 0.000537
t = 374.000000, L = 0.083499, A = 0.000538
t = 375.000000, L = 0.083569, A = 0.000539
t = 376.000000, L = 0.083639, A = 0.000540
t = 377.000000, L = 0.083709, A = 0.000540
t = 378.000000, L = 0.083779, A = 0.000541
t = 379.000000, L = 0.083849, A = 0.000542
t = 380.000000, L = 0.083919, A = 0.000543
t = 381.000000, L = 0.083988, A = 0.000544
t = 382.000000, L = 0.084057, A = 0.000545
t = 383.000000, L = 0.084127, A = 0.000546
t = 384.000000, L = 0.084196, A = 0.000547
t = 385.000000, L = 0.084265, A = 0.000548
t = 386.000000, L = 0.084333, A = 0.000548
t = 387.000000, L = 0.084402, A = 0.000549
t = 388.000000, L = 0.084471, A = 0.000550
t = 389.000000, L = 0.084539, A = 0.000551
t = 390.000000, L = 0.084607, A = 0.000552
t = 391.000000, L = 0.084675, A = 0.000553
t = 392.000000, L = 0.084743, A = 0.000554
t = 393.000000, L = 0.084811, A = 0.000555
t = 394.000000, L = 0.084879, A = 0.000555
t = 395.000000, L = 0.084946, A = 0.000556
t = 396.000000, L = 0.085014, A = 0.000557
t = 397.000000, L = 0.085081, A = 0.000558
t = 398.000000, L = 0.085148, A = 0.000559
t = 399.000000, L = 0.085215, A = 0.000560
t = 400.000000, L = 0.085282, A = 0.000561
t = 401.000000, L = 0.085349, A = 0.000562
t = 402.000000, L = 0.085415, A = 0.000562
t = 403.000000, L = 0.085482, A = 0.000563
t = 404.000000, L = 0.085548, A = 0.000564
t = 405.000000, L = 0.085614, A = 0.000565
t = 406.000000, L = 0.085680, A = 0.000566
t = 407.000000, L = 0.085746, A = 0.000567
t = 408.000000, L = 0.085812, A = 0.000568
t = 409.000000, L = 0.085878, A = 0.000568
t = 410.000000, L = 0.085944, A = 0.000569
t = 411.000000, L = 0.086009, A = 0.000570
t = 412.000000, L = 0.086074, A = 0.000571
t = 413.000000, L = 0.086140, A = 0.000572
t = 414.000000, L = 0.086205, A = 0.000573
t = 415.000000, L = 0.086270, A = 0.000574
t = 416.000000, L = 0.086335, A = 0.000574
t = 417.000000, L = 0.086399, A = 0.000575
t = 418.000000, L = 0.086464, A = 0.000576
t = 419.000000, L = 0.086528, A = 0.000577
t = 420.000000, L = 0.086593, A = 0.000578
t = 421.000000, L = 0.086657, A = 0.000579
t = 422.000000, L = 0.086721, A = 0.000579
t = 423.000000, L = 0.086785, A = 0.000580
t = 424.000000, L = 0.086849, A = 0.000581
t = 425.000000, L = 0.086913, A = 0.000582
t = 426.000000, L = 0.086976, A = 0.000583
t = 427.000000, L = 0.087040, A = 0.000584
t = 428.000000, L = 0.087103, A = 0.000585
t = 429.000000, L = 0.087167, A = 0.000585
t = 430.000000, L = 0.087230, A = 0.000586
t = 431.000000, L = 0.087293, A = 0.000587
t = 432.000000, L = 0.087356, A = 0.000588
t = 433.000000, L = 0.087419, A = 0.000589
t = 434.000000, L = 0.087481, A = 0.000590
t = 435.000000, L = 0.087544, A = 0.000590
t = 436.000000, L = 0.087606, A = 0.000591
